"","Date","Outcome","Pred_vs_Obs"
"463",2020-09-21,16.1486589,"Observed"
"464",2020-09-28,10.6859398,"Observed"
"465",2020-10-05,11.346579,"Observed"
"466",2020-10-12,11.5672405,"Observed"
"467",2020-10-19,12.1081305,"Observed"
"468",2020-10-26,14.1209945,"Observed"
"469",2020-11-02,14.913492392915,"Observed"
"470",2020-11-09,15.150299922791,"Observed"
"471",2020-11-16,18.480405811682,"Observed"
"472",2020-11-23,24.660275043066,"Observed"
"473",2020-11-30,21.40551700459,"Observed"
"474",2020-12-07,35.722954080827,"Observed"
"475",2020-12-14,41.2529481,"Observed"
"476",2020-12-21,44.8709904,"Observed"
"477",2020-12-28,45.985062207925,"Observed"
"478",2021-01-04,59.534220309391,"Observed"
"479",2021-01-11,69.416898189756,"Observed"
"480",2021-01-18,56.5848902,"Observed"
"481",2021-01-25,50.1924324,"Observed"
"482",2021-02-01,40.8937003,"Observed"
"483",2021-02-08,30.9733485,"Observed"
"484",2021-02-15,22.936693,"Observed"
"485",2020-04-20,0.80717546703173,"Observed"
"486",2020-04-27,0.23206294677162,"Observed"
"487",2020-05-04,0.13116601339266,"Observed"
"488",2020-05-11,0.14125570673055,"Observed"
"489",2020-05-18,0.050448466689483,"Observed"
"490",2020-05-25,0.050448466689483,"Observed"
"491",2020-06-01,0.080717546703173,"Observed"
"492",2020-06-08,0.25224233344741,"Observed"
"493",2020-06-15,0.60538160027379,"Observed"
"494",2020-06-22,0.80717546703173,"Observed"
"495",2020-06-29,0.6860991,"Observed"
"496",2020-07-06,1.4730952,"Observed"
"497",2020-07-13,2.149104680972,"Observed"
"498",2020-07-20,1.5134540006845,"Observed"
"499",2020-07-27,3.2085225,"Observed"
"500",2020-08-03,7.436104,"Observed"
"501",2020-08-10,12.0067351,"Observed"
"502",2020-08-17,15.911446393863,"Observed"
"503",2020-08-24,15.679383447091,"Observed"
"504",2020-08-31,17.182747754438,"Observed"
"505",2020-09-07,15.003374,"Observed"
"506",2020-09-14,8.2735485370752,"Observed"
"507",2020-09-21,6.8609915,"Observed"
"508",2020-09-28,7.506731843395,"Observed"
"509",2020-10-05,6.5683903629707,"Observed"
"510",2020-10-12,6.6591976030117,"Observed"
"511",2020-10-19,5.4887931758157,"Observed"
"512",2020-10-26,6.5683903629707,"Observed"
"513",2020-11-02,5.266819922382,"Observed"
"514",2020-11-09,7.8396917235456,"Observed"
"515",2020-11-16,6.1042644694274,"Observed"
"516",2020-11-23,7.2645792032855,"Observed"
"517",2020-11-30,5.9730984560348,"Observed"
"518",2020-12-07,6.8912605497834,"Observed"
"519",2020-12-14,3.4607648148985,"Observed"
"520",2020-12-21,0,"Observed"
"521",2020-12-28,0,"Observed"
"522",2021-01-04,0,"Observed"
"523",2021-01-11,46.029181007484,"Observed"
"524",2021-01-18,9.8374510044492,"Observed"
"525",2021-01-25,7.9405886569246,"Observed"
"526",2021-02-01,6.7399151497149,"Observed"
"527",2021-02-08,5.9327397,"Observed"
"528",2021-02-15,3.6121102,"Observed"
"529",2020-04-20,6.538229398578,"Observed"
"530",2020-04-27,12.238804753709,"Observed"
"531",2020-05-04,17.409620524607,"Observed"
"532",2020-05-11,12.053162506243,"Observed"
"533",2020-05-18,11.704517309781,"Observed"
"534",2020-05-25,11.754323766419,"Observed"
"535",2020-06-01,9.6805640264264,"Observed"
"536",2020-06-08,10.074487819831,"Observed"
"537",2020-06-15,9.6488690085663,"Observed"
"538",2020-06-22,9.0693029676951,"Observed"
"539",2020-06-29,12.1844704,"Observed"
"540",2020-07-06,13.2349339,"Observed"
"541",2020-07-13,17.4186762,"Observed"
"542",2020-07-20,15.4626409,"Observed"
"543",2020-07-27,16.1554034,"Observed"
"544",2020-08-03,15.0189106,"Observed"
"545",2020-08-10,14.4800953,"Observed"
"546",2020-08-17,16.3772685,"Observed"
"547",2020-08-24,17.9665473,"Observed"
"548",2020-08-31,36.8024436,"Observed"
"549",2020-09-07,25.4420436,"Observed"
"550",2020-09-14,20.0810577,"Observed"
"551",2020-09-21,26.560425,"Observed"
"552",2020-09-28,28.1044251,"Observed"
"553",2020-10-05,27.4433576,"Observed"
"554",2020-10-12,32.3787247,"Observed"
"555",2020-10-19,34.0404492,"Observed"
"556",2020-10-26,40.211921945132,"Observed"
"557",2020-11-02,69.104194654499,"Observed"
"558",2020-11-09,113.66286190617,"Observed"
"559",2020-11-16,136.75947420682,"Observed"
"560",2020-11-23,111.84719016875,"Observed"
"561",2020-11-30,78.132746884946,"Observed"
"562",2020-12-07,71.83902190986,"Observed"
"563",2020-12-14,54.596932193943,"Observed"
"564",2020-12-21,49.091054805667,"Observed"
"565",2020-12-28,34.995827577292,"Observed"
"566",2021-01-04,42.530186108617,"Observed"
"567",2021-01-11,54.334316331673,"Observed"
"568",2021-01-18,36.159487518728,"Observed"
"569",2021-01-25,38.0747722,"Observed"
"570",2021-02-01,28.2266773,"Observed"
"571",2021-02-08,23.4407296,"Observed"
"572",2021-02-15,20.9956854,"Observed"
"573",2020-04-20,2.2622888047481,"Observed"
"574",2020-04-27,1.4469055606339,"Observed"
"575",2020-05-04,1.5108571876233,"Observed"
"576",2020-05-11,1.2310688195449,"Observed"
"577",2020-05-18,1.542833001118,"Observed"
"578",2020-05-25,1.3829539336446,"Observed"
"579",2020-06-01,2.2303129912534,"Observed"
"580",2020-06-08,2.2622888047481,"Observed"
"581",2020-06-15,2.1823492710114,"Observed"
"582",2020-06-22,6.3312110719452,"Observed"
"583",2020-06-29,11.9749422,"Observed"
"584",2020-07-06,18.3940867,"Observed"
"585",2020-07-13,22.7827671,"Observed"
"586",2020-07-20,34.8856125,"Observed"
"587",2020-07-27,27.4032722,"Observed"
"588",2020-08-03,23.813987100157,"Observed"
"589",2020-08-10,27.3952782,"Observed"
"590",2020-08-17,22.7188155,"Observed"
"591",2020-08-24,16.9471812,"Observed"
"592",2020-08-31,16.1957495,"Observed"
"593",2020-09-07,12.6224524,"Observed"
"594",2020-09-14,14.908723,"Observed"
"595",2020-09-21,18.9376755,"Observed"
"596",2020-09-28,24.157727095225,"Observed"
"597",2020-10-05,27.9708429,"Observed"
"598",2020-10-12,33.9023563,"Observed"
"599",2020-10-19,40.984998946797,"Observed"
"600",2020-10-26,49.9702025388,"Observed"
"601",2020-11-02,46.39690538077,"Observed"
"602",2020-11-09,67.005317178086,"Observed"
"603",2020-11-16,72.880872907733,"Observed"
"604",2020-11-23,66.413764628435,"Observed"
"605",2020-11-30,80.299261638497,"Observed"
"606",2020-12-07,81.498354644547,"Observed"
"607",2020-12-14,82.5375686,"Observed"
"608",2020-12-21,69.2436241,"Observed"
"609",2020-12-28,49.018922087333,"Observed"
"610",2021-01-04,50.313942533867,"Observed"
"611",2021-01-11,55.430072693015,"Observed"
