Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
3/9/2020,MN,0,0,0,0,0,0,0,0
5/19/2020,ND,0,0,0,0,0,0,1,1
2/27/2021,VA,0,0,0,0,0,0,1,0
1/2/2021,LA,0,0,0,0,1,0,1,1
5/8/2020,CA,0,1,1,1,1,0,1,0
2/22/2021,VT,0,0,0,0,0,0,1,1
3/25/2020,VA,0,0,0,0,0,0,0,0
9/23/2020,IL,0,0,0,0,0,0,1,0
2/3/2021,DE,0,0,0,0,0,0,1,0
1/12/2021,SC,0,0,0,0,0,0,1,1
9/23/2020,RI,0,0,0,0,0,0,0,1
7/14/2020,DE,0,0,0,0,0,0,1,0
12/23/2020,MN,0,1,1,1,1,0,1,0
11/11/2020,MI,0,0,0,0,1,0,1,1
5/21/2020,ME,0,1,1,1,1,0,1,0
2/1/2020,MT,0,0,0,0,0,0,0,0
3/25/2020,NJ,0,0,0,0,0,0,0,0
5/19/2020,AZ,0,1,1,1,1,0,1,0
8/6/2020,IN,0,0,0,0,0,0,1,0
10/11/2020,CA,0,1,1,1,1,0,1,0
9/10/2020,AL,0,0,0,0,0,0,1,1
5/16/2020,ID,0,1,1,1,1,0,1,0
10/8/2020,CA,0,1,1,1,1,0,1,0
8/4/2020,MO,0,0,0,1,0,0,1,1
4/7/2020,NY,0,1,1,1,1,1,1,1
3/5/2021,RI,0,0,0,0,0,0,0,1
8/15/2020,CT,0,0,0,0,1,0,1,1
9/23/2020,MI,0,0,1,1,1,0,1,1
4/12/2020,NH,0,1,1,1,1,0,1,1
2/5/2021,NV,0,0,0,0,0,0,1,0
1/9/2021,DE,0,0,0,0,0,0,1,0
1/13/2021,IL,0,1,0,1,1,1,1,0
9/23/2020,WA,0,0,0,1,0,0,1,1
5/19/2020,IN,0,1,1,1,1,1,1,0
5/26/2020,IN,0,1,1,1,1,1,1,0
4/20/2020,ME,0,1,1,1,1,0,1,0
4/12/2020,IL,1,1,1,1,1,1,1,0
3/28/2020,VT,0,0,0,0,0,0,0,1
2/8/2021,ME,0,0,0,0,0,0,1,0
12/7/2020,WI,0,0,0,0,0,0,1,0
6/29/2020,ME,0,0,1,1,1,0,1,0
7/11/2020,ID,0,0,0,0,0,0,1,0
1/16/2021,AL,0,0,0,0,0,0,1,1
6/26/2020,NC,0,0,1,1,1,0,1,1
8/3/2020,NC,0,0,1,1,1,0,1,1
1/2/2021,MD,0,0,0,0,0,0,1,1
3/11/2020,NC,0,0,0,0,0,0,0,0
6/11/2020,MT,0,0,0,0,0,0,1,1
9/22/2020,NE,0,0,1,0,0,0,1,0
10/8/2020,WY,0,0,0,0,0,0,1,0
10/17/2020,VA,0,0,0,0,0,0,1,0
10/20/2020,AL,0,0,0,0,0,0,1,1
2/25/2021,MI,0,0,0,0,1,0,1,1
6/16/2020,MS,0,0,0,0,0,0,1,1
6/16/2020,VA,0,0,1,1,0,0,1,0
8/22/2020,RI,0,0,0,0,0,0,0,1
4/19/2020,AR,0,1,1,1,1,1,1,1
2/18/2021,DE,0,0,0,0,0,0,1,0
2/15/2020,WY,0,0,0,0,0,0,0,0
5/1/2020,MD,1,1,1,1,1,1,1,1
1/9/2021,MO,0,0,0,1,0,0,1,1
3/2/2021,MN,0,1,1,1,1,0,1,0
3/19/2020,RI,0,0,0,0,0,0,0,0
8/13/2020,ID,0,0,0,0,0,0,1,0
8/26/2020,NE,0,0,1,0,0,0,1,0
11/20/2020,ME,0,0,0,0,0,0,1,0
12/10/2020,VT,0,0,0,0,0,0,1,1
9/30/2020,ID,0,0,0,0,0,0,1,0
1/12/2021,CA,0,1,1,1,1,0,1,0
2/3/2021,CT,0,0,0,0,1,0,1,1
11/12/2020,MI,0,0,0,0,1,0,1,1
3/24/2020,NH,0,0,0,0,0,0,0,0
4/16/2020,NE,0,0,0,0,0,0,0,0
2/20/2021,NH,0,0,0,0,0,0,1,1
3/21/2020,ME,0,0,0,0,0,0,0,0
11/7/2020,NV,0,0,0,0,0,0,1,0
4/20/2020,AL,1,1,1,1,1,1,1,1
9/23/2020,KY,0,0,0,0,0,0,1,0
6/3/2020,VT,1,1,1,1,1,0,1,1
2/13/2021,NE,0,0,1,0,0,0,1,0
2/24/2021,SC,0,0,0,0,0,0,1,1
2/20/2021,KY,0,0,0,0,0,0,1,0
11/5/2020,DE,0,0,0,0,0,0,1,0
6/4/2020,LA,0,0,0,0,1,0,1,1
4/19/2020,MS,0,1,1,1,1,1,1,1
7/6/2020,NC,0,0,1,1,1,0,1,1
7/13/2020,KY,0,0,0,0,1,0,1,0
8/23/2020,MN,0,0,0,0,0,0,1,0
12/4/2020,NV,0,0,0,0,0,0,1,0
6/19/2020,CT,0,0,1,1,1,0,1,1
3/14/2020,IN,0,0,0,0,0,0,0,0
6/29/2020,MT,0,0,0,0,0,0,1,1
1/13/2021,NH,0,0,0,0,0,0,1,1
1/29/2021,DC,0,0,0,0,0,0,1,0
6/16/2020,NE,0,0,1,1,1,0,1,0
10/18/2020,MS,0,0,0,0,0,0,1,1
2/6/2021,LA,0,0,0,0,1,0,1,1
12/28/2020,WY,0,0,0,0,0,0,1,0
1/27/2021,RI,0,0,0,0,0,0,0,1
1/3/2021,VA,0,0,0,0,0,0,1,0
7/29/2020,OR,0,0,0,1,0,0,1,1
1/23/2020,AZ,0,0,0,0,0,0,0,0
8/3/2020,AZ,0,0,1,1,1,0,1,0
6/22/2020,RI,0,0,0,1,0,1,0,1
1/25/2021,AZ,0,0,1,1,1,0,1,0
2/17/2021,MO,0,0,0,1,0,0,1,1
11/20/2020,NE,0,0,1,0,0,0,1,0
7/31/2020,KY,0,0,0,0,0,0,1,0
1/17/2021,AZ,0,0,1,1,1,0,1,0
1/25/2020,CA,0,0,0,0,0,0,0,0
3/3/2020,ID,0,0,0,0,0,0,0,0
2/11/2021,DC,0,0,0,0,0,0,1,0
1/15/2021,VT,0,0,0,0,0,0,1,1
11/16/2020,RI,0,0,0,0,0,0,0,1
12/21/2020,AL,0,0,0,0,0,0,1,1
10/27/2020,AL,0,0,0,0,0,0,1,1
5/16/2020,WY,0,1,0,1,1,0,1,0
7/26/2020,RI,0,0,0,0,0,0,0,1
10/15/2020,MI,0,0,0,1,1,0,1,1
4/1/2020,NC,0,1,0,0,1,0,1,0
12/10/2020,LA,0,0,0,0,1,0,1,1
3/4/2020,ID,0,0,0,0,0,0,0,0
6/5/2020,IN,0,0,1,1,1,1,1,0
8/12/2020,DC,0,0,0,0,0,0,1,0
5/6/2020,AL,1,1,1,1,1,1,1,1
7/3/2020,CA,0,0,1,1,1,0,1,0
8/19/2020,NV,0,0,0,0,0,0,1,0
7/10/2020,MN,0,0,0,0,0,0,1,0
1/25/2021,NV,0,0,0,0,0,0,1,0
10/22/2020,NE,0,0,1,0,0,0,1,0
1/14/2021,DE,0,0,0,0,0,0,1,0
7/22/2020,RI,0,0,0,0,0,0,0,1
1/14/2021,SC,0,0,0,0,0,0,1,1
7/10/2020,MT,0,0,0,0,0,0,1,1
8/25/2020,NC,0,0,1,1,1,0,1,1
1/3/2021,NE,0,0,1,0,0,0,1,0
7/27/2020,MO,0,0,0,1,0,0,1,1
10/22/2020,MO,0,0,0,1,0,0,1,1
4/4/2020,IL,0,1,1,1,1,1,1,0
3/12/2020,CT,0,0,0,0,0,0,0,0
2/16/2021,LA,0,0,0,0,1,0,1,1
2/14/2021,WY,0,0,0,0,0,0,1,0
8/7/2020,NV,0,0,0,0,0,0,1,0
1/24/2020,MT,0,0,0,0,0,0,0,0
10/5/2020,AZ,0,0,1,1,1,0,1,0
2/20/2020,WY,0,0,0,0,0,0,0,0
12/1/2020,VA,0,0,0,0,0,0,1,0
4/25/2020,MT,0,1,1,1,1,1,1,1
8/4/2020,DE,0,0,0,0,0,0,1,0
9/12/2020,ID,0,0,0,0,0,0,1,0
