state,allocation_week,first_dose,second_dose,running_total
WA,2/1/2021,45825,45825,811005
WI,2/1/2021,36075,36075,642525
WV,2/1/2021,11700,11700,208260
WY,2/1/2021,3900,3900,67860
AK,2/8/2021,0,0,133380
AL,2/8/2021,30225,30225,503880
AR,2/8/2021,18525,18525,306150
AZ,2/8/2021,42900,42900,712920
CA,2/8/2021,241800,241800,3993600
CO,2/8/2021,35100,35100,573300
CT,2/8/2021,23400,23400,381420
DC,2/8/2021,4875,4875,81120
DE,2/8/2021,6825,6825,106080
FL,2/8/2021,132600,132600,2184000
GA,2/8/2021,63375,63375,1041690
HI,2/8/2021,9750,9750,154050
IA,2/8/2021,19500,19500,322140
ID,2/8/2021,10725,10725,170040
IL,2/8/2021,136890,136890,1232010
IN,2/8/2021,40950,40950,676260
KS,2/8/2021,18525,18525,296790
KY,2/8/2021,28275,28275,461370
LA,2/8/2021,29250,29250,477360
MA,2/8/2021,43875,43875,727740
MD,2/8/2021,38025,38025,624780
ME,2/8/2021,8775,8775,147420
MI,2/8/2021,62400,62400,1032720
MN,2/8/2021,34125,34125,567840
MO,2/8/2021,38025,38025,630630
MS,2/8/2021,18525,18525,304980
MT,2/8/2021,6825,6825,113100
NC,2/8/2021,63375,63375,1049880
ND,2/8/2021,4875,4875,82290
NE,2/8/2021,11700,11700,196560
NH,2/8/2021,8775,8775,147420
NJ,2/8/2021,55575,55575,921960
NM,2/8/2021,13650,13650,220350
NV,2/8/2021,18525,18525,303810
NY,2/8/2021,71175,71175,1169610
OH,2/8/2021,73125,73125,1203930
OK,2/8/2021,24375,24375,399750
OR,2/8/2021,26325,26325,435240
PA,2/8/2021,71175,71175,1182480
RI,2/8/2021,6825,6825,116610
SC,2/8/2021,31200,31200,516360
SD,2/8/2021,5850,5850,91260
TN,2/8/2021,41925,41925,688740
TX,2/8/2021,165750,165750,2735850
UT,2/8/2021,17550,17550,288990
VA,2/8/2021,52650,52650,872820
VT,2/8/2021,4875,4875,72930
WA,2/8/2021,46800,46800,765180
WI,2/8/2021,37050,37050,606450
WV,2/8/2021,11700,11700,196560
WY,2/8/2021,3900,3900,63960
AK,2/15/2021,0,0,133380
AL,2/15/2021,30225,30225,473655
AR,2/15/2021,18525,18525,287625
AZ,2/15/2021,42900,42900,670020
CA,2/15/2021,241800,241800,3751800
CO,2/15/2021,35100,35100,538200
CT,2/15/2021,23400,23400,358020
DC,2/15/2021,4875,4875,76245
DE,2/15/2021,6825,6825,99255
FL,2/15/2021,132600,132600,2051400
GA,2/15/2021,63375,63375,978315
HI,2/15/2021,9750,9750,144300
IA,2/15/2021,19500,19500,302640
ID,2/15/2021,10725,10725,159315
IL,2/15/2021,136890,136890,1095120
IN,2/15/2021,40950,40950,635310
KS,2/15/2021,18525,18525,278265
KY,2/15/2021,28275,28275,433095
LA,2/15/2021,29250,29250,448110
MA,2/15/2021,43875,43875,683865
MD,2/15/2021,38025,38025,586755
ME,2/15/2021,8775,8775,138645
MI,2/15/2021,62400,62400,970320
MN,2/15/2021,34125,34125,533715
MO,2/15/2021,38025,38025,592605
MS,2/15/2021,18525,18525,286455
MT,2/15/2021,6825,6825,106275
NC,2/15/2021,63375,63375,986505
ND,2/15/2021,4875,4875,77415
NE,2/15/2021,11700,11700,184860
NH,2/15/2021,8775,8775,138645
NJ,2/15/2021,55575,55575,866385
NM,2/15/2021,13650,13650,206700
NV,2/15/2021,18525,18525,285285
NY,2/15/2021,71175,71175,1098435
OH,2/15/2021,73125,73125,1130805
OK,2/15/2021,24375,24375,375375
OR,2/15/2021,26325,26325,408915
PA,2/15/2021,71175,71175,1111305
RI,2/15/2021,6825,6825,109785
SC,2/15/2021,31200,31200,485160
SD,2/15/2021,5850,5850,85410
TN,2/15/2021,41925,41925,646815
TX,2/15/2021,165750,165750,2570100
UT,2/15/2021,17550,17550,271440
VA,2/15/2021,52650,52650,820170
VT,2/15/2021,4875,4875,68055
WA,2/15/2021,46800,46800,718380
WI,2/15/2021,37050,37050,569400
WV,2/15/2021,11700,11700,184860
WY,2/15/2021,3900,3900,60060
AK,2/22/2021,0,0,133380
AL,2/22/2021,47970,47970,443430
AR,2/22/2021,29250,29250,269100
AZ,2/22/2021,69030,69030,627120
CA,2/22/2021,382590,382590,3510000
CO,2/22/2021,54990,54990,503100
CT,2/22/2021,36270,36270,334620
DC,2/22/2021,8190,8190,71370
DE,2/22/2021,10530,10530,92430
FL,2/22/2021,209430,209430,1918800
GA,2/22/2021,99450,99450,914940
HI,2/22/2021,15210,15210,134550
IA,2/22/2021,31590,31590,283140
ID,2/22/2021,16380,16380,148590
IL,2/22/2021,136890,136890,958230
IN,2/22/2021,64350,64350,594360
KS,2/22/2021,28080,28080,259740
KY,2/22/2021,44460,44460,404820
LA,2/22/2021,45630,45630,418860
MA,2/22/2021,70200,70200,639990
MD,2/22/2021,59670,59670,548730
ME,2/22/2021,14040,14040,129870
MI,2/22/2021,99450,99450,907920
MN,2/22/2021,54990,54990,499590
MO,2/22/2021,60840,60840,554580
MS,2/22/2021,29250,29250,267930
MT,2/22/2021,10530,10530,99450
NC,2/22/2021,100620,100620,923130
ND,2/22/2021,8190,8190,72540
NE,2/22/2021,18720,18720,173160
NH,2/22/2021,14040,14040,129870
NJ,2/22/2021,88920,88920,810810
NM,2/22/2021,21060,21060,193050
NV,2/22/2021,29250,29250,266760
NY,2/22/2021,112320,112320,1027260
OH,2/22/2021,115830,115830,1057680
OK,2/22/2021,38610,38610,351000
OR,2/22/2021,42120,42120,382590
PA,2/22/2021,113490,113490,1040130
RI,2/22/2021,11700,11700,102960
SC,2/22/2021,49140,49140,453960
SD,2/22/2021,9360,9360,79560
TN,2/22/2021,65520,65520,604890
TX,2/22/2021,262080,262080,2404350
UT,2/22/2021,28080,28080,253890
VA,2/22/2021,84240,84240,767520
VT,2/22/2021,7020,7020,63180
WA,2/22/2021,73710,73710,671580
WI,2/22/2021,58500,58500,532350
WV,2/22/2021,18720,18720,173160
WY,2/22/2021,5850,5850,56160
AK,3/1/2021,53820,53820,133380
AL,3/1/2021,54990,54990,395460
AR,3/1/2021,33930,33930,239850
AZ,3/1/2021,78390,78390,558090
CA,3/1/2021,438750,438750,3127410
CO,3/1/2021,63180,63180,448110
CT,3/1/2021,42120,42120,298350
DC,3/1/2021,9360,9360,63180
DE,3/1/2021,11700,11700,81900
FL,3/1/2021,239850,239850,1709370
GA,3/1/2021,114660,114660,815490
HI,3/1/2021,16380,16380,119340
IA,3/1/2021,35100,35100,251550
ID,3/1/2021,18720,18720,132210
IL,3/1/2021,136890,136890,821340
IN,3/1/2021,74880,74880,530010
KS,3/1/2021,32760,32760,231660
KY,3/1/2021,50310,50310,360360
LA,3/1/2021,52650,52650,373230
MA,3/1/2021,79560,79560,569790
MD,3/1/2021,69030,69030,489060
ME,3/1/2021,16380,16380,115830
MI,3/1/2021,113490,113490,808470
MN,3/1/2021,62010,62010,444600
MO,3/1/2021,69030,69030,493740
MS,3/1/2021,33930,33930,238680
MT,3/1/2021,12870,12870,88920
NC,3/1/2021,115830,115830,822510
ND,3/1/2021,9360,9360,64350
NE,3/1/2021,22230,22230,154440
NH,3/1/2021,16380,16380,115830
NJ,3/1/2021,101790,101790,721890
NM,3/1/2021,24570,24570,171990
NV,3/1/2021,33930,33930,237510
NY,3/1/2021,128700,128700,914940
OH,3/1/2021,132210,132210,941850
OK,3/1/2021,43290,43290,312390
OR,3/1/2021,47970,47970,340470
PA,3/1/2021,129870,129870,926640
RI,3/1/2021,12870,12870,91260
SC,3/1/2021,57330,57330,404820
SD,3/1/2021,10530,10530,70200
TN,3/1/2021,76050,76050,539370
TX,3/1/2021,300690,300690,2142270
UT,3/1/2021,31590,31590,225810
VA,3/1/2021,95940,95940,683280
VT,3/1/2021,8190,8190,56160
WA,3/1/2021,84240,84240,597870
WI,3/1/2021,66690,66690,473850
WV,3/1/2021,22230,22230,154440
WY,3/1/2021,7020,7020,50310
AK,3/8/2021,0,0,79560
AL,3/8/2021,60840,60840,340470
AR,3/8/2021,37440,37440,205920
AZ,3/8/2021,85410,85410,479700
CA,3/8/2021,479700,479700,2688660
CO,3/8/2021,69030,69030,384930
CT,3/8/2021,45630,45630,256230
DC,3/8/2021,9360,9360,53820
DE,3/8/2021,12870,12870,70200
FL,3/8/2021,262080,262080,1469520
GA,3/8/2021,125190,125190,700830
HI,3/8/2021,18720,18720,102960
IA,3/8/2021,38610,38610,216450
ID,3/8/2021,19890,19890,113490
IL,3/8/2021,136890,136890,684450
IN,3/8/2021,80730,80730,455130
KS,3/8/2021,35100,35100,198900
KY,3/8/2021,54990,54990,310050
LA,3/8/2021,57330,57330,320580
MA,3/8/2021,87750,87750,490230
MD,3/8/2021,74880,74880,420030
ME,3/8/2021,17550,17550,99450
MI,3/8/2021,124020,124020,694980
MN,3/8/2021,67860,67860,382590
