"","submission_date","state","political.party.affilation","Total.population","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned","new_deaths_per_100k","new_cases_per_100k","log_new_deaths_per_100k","log_new_cases_per_100k","per.male","per.female","per.65.and.over","per.white","per.black","per.amer.ind","per.asian","per.pac.isl","pop.dens"
"15305","2020-10-29","DC","DEMOCRAT","692683","0","0","0","0","0","0","1","0",0.14436618193315,14.5809843752481,-1.9354022770907,2.67971823975056,47.4,52.6,12.1,41.3,46.3,0.3,4,0.1,11355.4590163934
"15306","2020-02-07","MS","REPUBLICAN","2984418","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.5,51.5,15.4,58.4,37.7,0.5,1,0,63.6024550859919
"15307","2020-07-19","RI","DEMOCRAT","1057231","0","0","0","0","0","0","0","1",0,0,-Inf,-Inf,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"15308","2020-04-20","RI","DEMOCRAT","1057231","1","1","1","1","1","1","0","1",0.472933540541282,36.3212959135704,-0.748800406617351,3.59240423353628,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"15309","2020-06-01","AL","REPUBLICAN","4876250","1","0","0","1","0","1","1","1",0.287105870289669,3.95795949756473,-1.24790424521752,1.37572861407211,48.4,51.6,16.5,68.1,26.6,0.5,1.4,0,96.2829499457005
"15310","2021-01-04","KY","REPUBLICAN","4449052","0","0","0","0","0","0","1","0",0.584394158575804,52.0785102084669,-0.537179594747944,3.95275239166295,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"15311","2020-08-27","DC","DEMOCRAT","692683","0","0","0","0","0","0","1","0",0,10.3943650991868,-Inf,2.34126384192536,47.4,52.6,12.1,41.3,46.3,0.3,4,0.1,11355.4590163934
"15312","2020-03-10","ME","DEMOCRAT","1335492","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49,51,20,94.3,1.4,0.6,1.1,0,43.2996790195506
"15313","2020-10-22","SC","REPUBLICAN","5020806","0","0","0","0","0","0","1","1",0.33859105490234,23.7212909640404,-1.08296222752237,3.16637299777671,48.5,51.5,17.2,67.2,26.8,0.4,1.6,0.1,167.020591464023
"15314","2020-01-22","AZ","DEMOCRAT","7050299","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.7,50.3,17.1,77.2,4.5,4.5,3.3,0.2,62.065769318802
"15315","2020-05-03","MI","DEMOCRAT","9965265","1","1","1","1","1","1","1","1",0.291010826104474,5.48906627169473,-1.23439480939451,1.702758163041,49.2,50.8,16.7,78.4,13.8,0.5,3.1,0,176.254709138825
"15316","2020-06-07","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",0,5.94674098771403,-Inf,1.78284333633963,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"15317","2020-07-06","WA","DEMOCRAT","7404107","0","1","1","1","1","0","1","1",0.148566194410751,14.6810412113169,-1.90672466645026,2.68655694787258,50,50,15.1,75.4,3.8,1.3,8.5,0.7,111.413672204165
"15318","2020-08-16","VA","DEMOCRAT","8454463","0","0","0","0","0","0","1","0",0.0354842170342457,8.63449281166645,-3.33866727194509,2.15576497352924,49.2,50.8,15,67.6,19.2,0.3,6.4,0.1,214.091238288174
"15319","2021-02-14","NE","REPUBLICAN","1914571","0","0","1","0","0","0","1","0",0.0522310219887379,14.6769171788354,-2.9520786696425,2.68627599969125,49.9,50.1,15.4,87.1,4.8,0.9,2.4,0.1,24.9215219202333
"15320","2021-03-04","DC","DEMOCRAT","692683","0","0","0","0","0","0","1","0",0.14436618193315,28.2957716588974,-1.9354022770907,3.34271238213982,47.4,52.6,12.1,41.3,46.3,0.3,4,0.1,11355.4590163934
"15321","2020-08-19","CA","DEMOCRAT","39283497","0","1","1","1","1","0","1","0",0.460753277642263,15.6910674220271,-0.774892568746681,2.7530915964275,49.7,50.3,14,59.7,5.8,0.8,14.5,0.4,252.174535720476
"15322","2020-10-30","NH","DEMOCRAT","1348124","0","0","0","0","0","0","1","1",0,8.60454972984681,-Inf,2.15229110172229,49.5,50.5,17.5,92.9,1.6,0.2,2.7,0,150.577906846867
"15323","2021-01-26","LA","REPUBLICAN","4664362","0","0","0","0","1","0","1","1",0.664613938626547,56.1705973935985,-0.408548950325588,4.02839344194441,48.9,51.1,15,62,32.2,0.6,1.7,0,107.961346171651
"15324","2021-01-04","WA","DEMOCRAT","7404107","0","1","1","1","1","0","1","1",0.310638406495206,14.0327523629791,-1.16912572331948,2.6413940518506,50,50,15.1,75.4,3.8,1.3,8.5,0.7,111.413672204165
"15325","2020-08-28","DE","DEMOCRAT","957248","0","0","0","0","0","0","1","0",0,38.965868823962,-Inf,3.66268610459505,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"15326","2020-03-30","NJ","DEMOCRAT","8878503","0","1","1","1","1","1","0","0",0.416736920627272,36.6052700550983,-0.875300142061431,3.60019222061813,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"15327","2020-07-06","MO","REPUBLICAN","6104910","0","0","0","1","0","0","1","1",0,6.87970830036806,-Inf,1.92857625284411,49.1,50.9,16.5,82.2,11.5,0.4,2,0.1,88.8090250501877
"15328","2020-11-27","NJ","DEMOCRAT","8878503","0","0","0","0","0","0","1","1",0.191473720288206,54.3109576017489,-1.65300471064944,3.99472600403546,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"15329","2020-02-17","CA","DEMOCRAT","39283497","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.7,50.3,14,59.7,5.8,0.8,14.5,0.4,252.174535720476
"15330","2020-10-20","SC","REPUBLICAN","5020806","0","0","0","0","0","0","1","1",0.418259538408773,18.8415963492714,-0.871653133855166,2.93606699747329,48.5,51.5,17.2,67.2,26.8,0.4,1.6,0.1,167.020591464023
"15331","2020-03-08","MO","REPUBLICAN","6104910","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.1,50.9,16.5,82.2,11.5,0.4,2,0.1,88.8090250501877
"15332","2020-11-05","MI","DEMOCRAT","9965265","0","0","0","0","1","0","1","1",0.511777659700971,61.2427266108829,-0.669865006656653,4.11484509316352,49.2,50.8,16.7,78.4,13.8,0.5,3.1,0,176.254709138825
"15333","2020-05-19","WI","DEMOCRAT","5790716","0","1","1","1","1","0","1","0",0.138152173237299,3.41926628762315,-1.97939949673898,1.22942599227572,49.7,50.3,16.5,85.4,6.4,0.9,2.8,0,106.92263377525
"15334","2020-06-17","MI","DEMOCRAT","9965265","1","1","1","1","1","1","1","1",0.0200697121451361,2.28794718454552,-3.90854345882103,0.827654989573461,49.2,50.8,16.7,78.4,13.8,0.5,3.1,0,176.254709138825
"15335","2020-08-26","CA","DEMOCRAT","39283497","0","1","1","1","1","0","1","0",0.381839732852704,15.2837717069842,-0.962754305916251,2.72679159274085,49.7,50.3,14,59.7,5.8,0.8,14.5,0.4,252.174535720476
"15336","2020-03-21","NH","DEMOCRAT","1348124","0","0","0","0","0","0","0","0",0,0.74177152843507,-Inf,-0.29871399639003,49.5,50.5,17.5,92.9,1.6,0.2,2.7,0,150.577906846867
"15337","2020-08-09","MT","REPUBLICAN","1050649","0","0","0","0","0","0","1","1",0,6.1866522501806,-Inf,1.82239410843625,50.3,49.7,18.2,88.5,0.5,6.4,0.8,0.1,7.21867313426683
"15338","2020-06-19","RI","DEMOCRAT","1057231","0","0","0","1","0","1","0","1",0.851280372974307,6.43189615136143,-0.161013741715232,1.86126938612466,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"15339","2020-06-29","SC","REPUBLICAN","5020806","0","0","0","1","0","0","1","1",0.239005450519299,26.489770765889,-1.43126892179059,3.27675864963721,48.5,51.5,17.2,67.2,26.8,0.4,1.6,0.1,167.020591464023
"15340","2020-02-17","IL","DEMOCRAT","12770631","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.1,50.9,15.2,71.5,14.2,0.3,5.5,0,230.022712945118
"15341","2020-03-04","SC","REPUBLICAN","5020806","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.5,51.5,17.2,67.2,26.8,0.4,1.6,0.1,167.020591464023
"15342","2020-05-05","ME","DEMOCRAT","1335492","0","1","1","1","1","0","1","0",0.074878771269315,2.09660559554082,-2.59188485627816,0.740319653897039,49,51,20,94.3,1.4,0.6,1.1,0,43.2996790195506
"15343","2020-10-30","DE","DEMOCRAT","957248","0","0","0","0","0","0","1","0",1.98485658888815,41.5775222303938,0.68554666411767,3.72755969023567,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"15344","2020-12-28","MT","REPUBLICAN","1050649","0","0","0","0","0","0","1","1",0.285537796162182,20.8442591198393,-1.25338087279128,3.03707856835711,50.3,49.7,18.2,88.5,0.5,6.4,0.8,0.1,7.21867313426683
"15345","2020-11-16","NJ","DEMOCRAT","8878503","0","0","0","0","0","0","1","1",0.157684240237346,32.9447430495884,-1.8471607250904,3.4948317049603,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"15346","2020-03-13","DE","DEMOCRAT","957248","0","0","0","0","0","0","0","0",0,0.104466136257271,-Inf,-2.25889231504877,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"15347","2020-04-17","MI","DEMOCRAT","9965265","1","1","1","1","1","1","1","1",1.33463585765155,6.9140158339994,0.288658488840774,1.93355063163268,49.2,50.8,16.7,78.4,13.8,0.5,3.1,0,176.254709138825
"15348","2020-10-18","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",0.528599198907914,87.0867180200788,-0.6375247923108,4.46690438107182,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"15349","2020-04-29","CT","DEMOCRAT","3575074","0","1","1","1","1","0","1","1",2.20974446962496,12.7270092870805,0.792876884240533,2.54372645072446,48.8,51.2,16.8,75.9,10.7,0.3,4.5,0,738.346551011978
"15350","2020-07-02","MN","DEMOCRAT","5563378","0","0","0","0","0","0","1","0",0.143797527329619,7.44152203930777,-1.93934902904735,2.00707540309813,49.8,50.2,15.4,82.8,6.4,1,4.8,0,69.8679844776269
"15351","2020-10-26","AZ","DEMOCRAT","7050299","0","0","1","1","1","0","1","0",0.0141837956092359,11.3612202829979,-4.2556551202664,2.43020582680195,49.7,50.3,17.1,77.2,4.5,4.5,3.3,0.2,62.065769318802
"15352","2021-02-14","NH","DEMOCRAT","1348124","0","0","0","0","0","0","1","1",0.222531458530521,20.769602796182,-1.50268680071597,3.03349051378517,49.5,50.5,17.5,92.9,1.6,0.2,2.7,0,150.577906846867
